X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8474398.49213021,5321569.96518914,2024/02/18 00:00:00+00,2240,2240,100 DURSTON AVE    ,False,POSSESSION/USE DRUG,43.0630259530001,-76.126816892,55
-8475247.28421188,5320986.61381146,2024/02/18 00:00:00+00,2117,2117,1000 JAMES ST     ,False,SIMPLE ASSAULT,43.0591972290001,-76.134441721,56
-8478239.71721121,5317062.61518095,2024/02/07 00:00:00+00,2009,2009,500 BELLEVUE AVE    ,False,SIMPLE ASSAULT,43.0334365420001,-76.161323204,57
-8474889.71810377,5311719.9175007,2024/02/07 00:00:00+00,2053,2053,200 LAFAYETTE RD     ,False,KIDNAPPING,42.9983448360001,-76.13122965,58
-8478861.87160386,5318534.80932916,2024/02/07 00:00:00+00,2109,2109,600 GIFFORD ST     ,False,CRIMINAL MISCHIEF,43.043102628,-76.166912112,59
-8481305.30359127,5319728.43498905,2024/02/07 00:00:00+00,2157,2157,200 CAYUGA ST     ,False,SIMPLE ASSAULT,43.05093858,-76.188861835,60
-8477368.84212555,5323819.63111575,2024/04/10 00:00:00+00,1553,1553,300 WILLUMAE DR     ,False,OFFN AGAINST FAMILY,43.0777890000001,-76.1535,61
-8472700.92588932,5323180.11075322,2024/02/07 00:00:00+00,2333,2333,300 FOBES AVE    ,False,SIMPLE ASSAULT,43.0735926190001,-76.111567395,62
-8477508.26589159,5322211.54043212,2024/02/08 00:00:00+00,727,727,500 KIRKPATRICK ST     ,False,POSSESSION/USE DRUG,43.067236543,-76.1547524649999,63
-8479345.04138586,5320192.37528778,2024/04/10 00:00:00+00,1700,1700,1000 W  GENESEE ST     ,False,FORGERY/COUNTERFEIT,43.0539840000001,-76.1712525,64
-8476680.78158497,5319504.20863496,2024/02/08 00:00:00+00,920,920,400 E  WASHINGTON ST     ,False,CRIMINAL MISCHIEF,43.0494666480001,-76.1473190469999,65
-8477073.07581199,5319713.4487405,2024/01/16 00:00:00+00,842,842,100 S  WARREN ST     ,False,FORGERY/COUNTERFEIT,43.0508402040001,-76.150843086,66
-8477078.73329115,5316726.65167599,2024/02/08 00:00:00+00,1357,1357,200 FURMAN ST     ,False,CRIMINAL MISCHIEF,43.03123047,-76.1508939079999,67
-8477940.8270501,5319135.05848158,2023/08/28 00:00:00+00,800,800,400 S  WEST ST     ,False,FORGERY/COUNTERFEIT,43.0470432880001,-76.158638228,68
